Symbol,Security,sector,etf
MMM,3M Company,Industrials,XLI
ABT,Abbott Laboratories,Health Care,XLV
ABBV,AbbVie Inc.,Health Care,XLV
ACN,Accenture plc,Information Technology,XLK
ATVI,Activision Blizzard,Software/Internet,IGV
AYI,Acuity Brands Inc,Industrials,XLI
ADBE,Adobe Systems Inc,Software/Internet,IGV
AMD,Advanced Micro Devices Inc,Semiconductors,SMH
AAP,Advance Auto Parts,Retail,XRT
AES,AES Corp,Utilities,XLU
AET,Aetna Inc,Health Care,XLV
AMG,Affiliated Managers Group Inc,Financials,XLF
AFL,AFLAC Inc,Financials,XLF
A,Agilent Technologies Inc,Health Care,XLV
APD,Air Products & Chemicals Inc,Materials,XLB
AKAM,Akamai Technologies Inc,Information Technology,XLK
ALK,Alaska Air Group Inc,Transportation,IYT
ALB,Albemarle Corp,Materials,XLB
ARE,Alexandria Real Estate Equities Inc,Real Estate,IYR
ALXN,Alexion Pharmaceuticals,Health Care,XLV
ALGN,Align Technology,Health Care,XLV
ALLE,Allegion,Industrials,XLI
AGN,"Allergan, Plc",Health Care,XLV
ADS,Alliance Data Systems,Information Technology,XLK
LNT,Alliant Energy Corp,Utilities,XLU
ALL,Allstate Corp,Financials,XLF
GOOGL,Alphabet Inc Class A,Information Technology,XLK
GOOG,Alphabet Inc Class C,Information Technology,XLK
MO,Altria Group Inc,Consumer Staples,XLP
AMZN,Amazon.com Inc,Consumer Discretionary,XLY
AEE,Ameren Corp,Utilities,XLU
AAL,American Airlines Group,Transportation,IYT
AEP,American Electric Power,Utilities,XLU
AXP,American Express Co,Financials,XLF
AIG,"American International Group, Inc.",Financials,XLF
AMT,American Tower Corp A,Real Estate,IYR
AWK,American Water Works Company Inc,Utilities,XLU
AMP,Ameriprise Financial,Financials,XLF
ABC,AmerisourceBergen Corp,Health Care,XLV
AME,AMETEK Inc,Industrials,XLI
AMGN,Amgen Inc,Health Care,XLV
APH,Amphenol Corp,Information Technology,XLK
APC,Anadarko Petroleum Corp,Energy,XLE
ADI,"Analog Devices, Inc.",Semiconductors,SMH
ANDV,Andeavor,Energy,XLE
ANSS,ANSYS,Software/Internet,IGV
ANTM,Anthem Inc.,Health Care,XLV
AON,Aon plc,Financials,XLF
AOS,A.O. Smith Corp,Industrials,XLI
APA,Apache Corporation,Energy,XLE
AIV,Apartment Investment & Management,Real Estate,IYR
AAPL,Apple Inc.,Information Technology,XLK
AMAT,Applied Materials Inc,Semiconductors,SMH
APTV,Aptiv Plc,Consumer Discretionary,XLY
ADM,Archer-Daniels-Midland Co,Consumer Staples,XLP
ARNC,Arconic Inc,Industrials,XLI
AJG,Arthur J. Gallagher & Co.,Financials,XLF
AIZ,Assurant Inc,Financials,XLF
T,AT&T Inc,,
ADSK,Autodesk Inc,Software/Internet,IGV
ADP,Automatic Data Processing,Information Technology,XLK
AZO,AutoZone Inc,Retail,XRT
AVB,"AvalonBay Communities, Inc.",Real Estate,IYR
AVY,Avery Dennison Corp,Materials,XLB
BHGE,"Baker Hughes, a GE Company",Energy,XLE
BLL,Ball Corp,Materials,XLB
BAC,Bank of America Corp,Financials,XLF
BK,The Bank of New York Mellon Corp.,Financials,XLF
BAX,Baxter International Inc.,Health Care,XLV
BBT,BB&T Corporation,Financials,XLF
BDX,Becton Dickinson,Health Care,XLV
BRK-B,Berkshire Hathaway,Financials,XLF
BBY,Best Buy Co. Inc.,Retail,XRT
BIIB,Biogen Inc.,Health Care,XLV
BLK,BlackRock,Financials,XLF
HRB,Block H&R,Financials,XLF
BA,Boeing Company,Industrials,XLI
BWA,BorgWarner,Consumer Discretionary,XLY
BXP,Boston Properties,Real Estate,IYR
BSX,Boston Scientific,Health Care,XLV
BHF,Brighthouse Financial Inc,Financials,XLF
BMY,Bristol-Myers Squibb,Health Care,XLV
AVGO,Broadcom,Semiconductors,SMH
BF-B,Brown-Forman Corp.,Consumer Staples,XLP
CHRW,C. H. Robinson Worldwide,Transportation,IYT
CA,"CA, Inc.",Software/Internet,IGV
COG,Cabot Oil & Gas,Energy,XLE
CDNS,Cadence Design Systems,Software/Internet,IGV
CPB,Campbell Soup,Consumer Staples,XLP
COF,Capital One Financial,Financials,XLF
CAH,Cardinal Health Inc.,Health Care,XLV
CBOE,CBOE Holdings,Financials,XLF
KMX,Carmax Inc,Retail,XRT
CCL,Carnival Corp.,Consumer Discretionary,XLY
CAT,Caterpillar Inc.,Industrials,XLI
CBG,CBRE Group,Real Estate,IYR
CBS,CBS Corp.,Consumer Discretionary,XLY
CELG,Celgene Corp.,Health Care,XLV
CNC,Centene Corporation,Health Care,XLV
CNP,CenterPoint Energy,Utilities,XLU
CTL,CenturyLink Inc,,
CERN,Cerner,Health Care,XLV
CF,CF Industries Holdings Inc,Materials,XLB
SCHW,Charles Schwab Corporation,Financials,XLF
CHTR,Charter Communications,Consumer Discretionary,XLY
CHK,Chesapeake Energy,Energy,XLE
CVX,Chevron Corp.,Energy,XLE
CMG,Chipotle Mexican Grill,Consumer Discretionary,XLY
CB,Chubb Limited,Financials,XLF
CHD,Church & Dwight,Consumer Staples,XLP
CI,CIGNA Corp.,Health Care,XLV
XEC,Cimarex Energy,Energy,XLE
CINF,Cincinnati Financial,Financials,XLF
CTAS,Cintas Corporation,Industrials,XLI
CSCO,Cisco Systems,Information Technology,XLK
C,Citigroup Inc.,Financials,XLF
CFG,Citizens Financial Group,Financials,XLF
CTXS,Citrix Systems,Information Technology,XLK
CLX,The Clorox Company,Consumer Staples,XLP
CME,CME Group Inc.,Financials,XLF
CMS,CMS Energy,Utilities,XLU
KO,Coca-Cola Company (The),Consumer Staples,XLP
CTSH,Cognizant Technology Solutions,Information Technology,XLK
CL,Colgate-Palmolive,Consumer Staples,XLP
CMCSA,Comcast Corp.,Consumer Discretionary,XLY
CMA,Comerica Inc.,Financials,XLF
CAG,Conagra Brands,Consumer Staples,XLP
CXO,Concho Resources,Energy,XLE
COP,ConocoPhillips,Energy,XLE
ED,Consolidated Edison,Utilities,XLU
STZ,Constellation Brands,Consumer Staples,XLP
COO,The Cooper Companies,Health Care,XLV
GLW,Corning Inc.,Information Technology,XLK
COST,Costco Wholesale Corp.,Consumer Staples,XLP
COTY,"Coty, Inc",Consumer Staples,XLP
CCI,Crown Castle International Corp.,Real Estate,IYR
CSRA,CSRA Inc.,Information Technology,XLK
CSX,CSX Corp.,Transportation,IYT
CMI,Cummins Inc.,Industrials,XLI
CVS,CVS Health,Consumer Staples,XLP
DHI,D. R. Horton,Consumer Discretionary,XLY
DHR,Danaher Corp.,Health Care,XLV
DRI,Darden Restaurants,Consumer Discretionary,XLY
DVA,DaVita Inc.,Health Care,XLV
DE,Deere & Co.,Industrials,XLI
DAL,Delta Air Lines Inc.,Transportation,IYT
XRAY,Dentsply Sirona,Health Care,XLV
DVN,Devon Energy Corp.,Energy,XLE
DLR,Digital Realty Trust Inc,Real Estate,IYR
DFS,Discover Financial Services,Financials,XLF
DISCA,Discovery Communications-A,Consumer Discretionary,XLY
DISCK,Discovery Communications-C,Consumer Discretionary,XLY
DISH,Dish Network,Consumer Discretionary,XLY
DG,Dollar General,Consumer Discretionary,XLY
DLTR,Dollar Tree,Consumer Discretionary,XLY
D,Dominion Energy,Utilities,XLU
DOV,Dover Corp.,Industrials,XLI
DWDP,DowDuPont,Materials,XLB
DPS,Dr Pepper Snapple Group,Consumer Staples,XLP
DTE,DTE Energy Co.,Utilities,XLU
DRE,Duke Realty Corp,Real Estate,IYR
DUK,Duke Energy,Utilities,XLU
DXC,DXC Technology,Information Technology,XLK
ETFC,E*Trade,Financials,XLF
EMN,Eastman Chemical,Materials,XLB
ETN,Eaton Corporation,Industrials,XLI
EBAY,eBay Inc.,Information Technology,XLK
ECL,Ecolab Inc.,Materials,XLB
EIX,Edison Int'l,Utilities,XLU
EW,Edwards Lifesciences,Health Care,XLV
EA,Electronic Arts,Software/Internet,IGV
EMR,Emerson Electric Company,Industrials,XLI
ETR,Entergy Corp.,Utilities,XLU
